article_id,prod_name,product_type_name,display_price,image_folder
0189616008,Heavy jsy long leg,Leggings/Tights,7.25,018
0201219013,Heavy plain 2 p tights,Underwear Tights,9.25,020
0212629050,Alcazar strap dress,Dress,7.98,021
0287645003,Microtights 2pk SG,Underwear Tights,4.07,028
0326885053,MAX jersey pants SB,Trousers,6.48,032
0352811033,Sara long (1),Trousers,11.86,035
0359909030,Solid Paco,Scarf,3.14,035
0372576011,Robin 7pk Basic,Underwear bottom,24.98,037
0373493008,Everyday 5p shaftless,Socks,5.72,037
0456641002,Clarence Hipster Poppy Mid,Underwear bottom,3.81,045
0465816001,Ring Pack Jose,Ring,6.24,046
0468591008,August s/s 2-p snug fit pj,Pyjama set,13.94,046
0469658014,Spice Girl 3pk hipster,Underwear bottom,10.44,046
0485554004,Nils x-mas pj SB,Pyjama set,13.8,048
0487053003,7-pack STELLAN shaftless SB,Socks,5.08,048
0502224007,Duffy,Boots,17.19,050
0504152002,Friend,Cardigan,5.42,050
0508638025,Printed tee 9.99,T-shirt,5.23,050
0515514007,Rosie trim,Jacket,11.38,051
0515949002,Karlo onesie,Pyjama jumpsuit/playsuit,7.87,051
0517046013,Levi Knitted Beanie,Hat/beanie,4.01,051
0517442003,Asmo Parka,Jacket,48.46,051
0518158001,SANDRA shorts,Shorts,5.49,051
0518729001,Dove dress,Dress,11.42,051
0526129004,Emma fancy SG,Sneakers,7.16,052
0526512009,Poppy,Dress,5.55,052
0527517003,basic tankoverall,Jumpsuit/Playsuit,7.66,052
0531394001,Harper,Sweater,10.16,053
0532578028,Annette,Sweater,11.82,053
0533022036,2P LS body fancy TVP,Bodysuit,8.87,053
0540230002,Onda trousers,Trousers,30.5,054
0540338003,Valentin jacket,Jacket,30.15,054
0542833004,Ava Hood dress,Dress,7.63,054
0543689002,Mariette.,Blazer,18.9,054
0545396025,JOEL Sweatpants SB,Trousers,4.97,054
0545396040,TP JOEL sweatpants SB,Trousers,6.82,054
0548967001,Badu lace blouse,Top,20.33,054
0549263013,Kanta trouser,Trousers,8.59,054
0550471026,2P LS PJ TVP,Pyjama jumpsuit/playsuit,11.46,055
0554541025,SKINNY SS 89,Trousers,19.8,055
0556849013,2-PACK LEGGINGS BELLE,Leggings/Tights,16.11,055
0559139008,Jogger Knit 89,Trousers,19.97,055
0561797001,Mike t-shirt,T-shirt,7.08,056
0562399001,Liberty dress (1),Dress,8.09,056
0567742001,SB Benny Shell jkt,Jacket,22.36,056
0567813002,2-PACK SKINNY PRICE,Trousers,11.86,056
0568652018,Flirty Padded Keychain,Other accessories,2.28,056
0568836005,Felicia maxi,Dress,20.87,056
0569526002,CHIPMUNK loose tee (1),T-shirt,12.25,056
0570004120,PETER POLO,Polo shirt,8.28,057
0570891001,Nilsson LS top,T-shirt,6.91,057
0572797035,ESSENTIAL TANKTOP LACE,Vest top,4.96,057
0573282004,ANNA SS SLUB,T-shirt,3.4,057
0584112001,FESTIVAL SET,Garment Set,10.82,058
0589514002,Lisabon jumpsuit,Trousers,9.62,058
0590198001,Reindeer Hair Clips,Hair clip,1.4,059
0592932013,2P Jersey Tights,Leggings/Tights,6.48,059
0594264006,Ibiza Vis. TRS,Trousers,10.51,059
0597043002,Charlie Push Valencia,Bra,13.93,059
0598859003,Fiona Wide,Trousers,26.84,059
0600257001,VICTOR romper,Jumpsuit/Playsuit,3.77,060
0603584011,ED Hotpants (1),Shorts,7.16,060
0605365001,Space petite,Leggings/Tights,7.54,060
0607299001,Loris Basic Denim Jacket,Jacket,11.9,060
0607564001,Kimmi,Blazer,24.49,060
0608210011,ED coco sleeveless,Top,7.25,060
0608943021,MATTEO PIQUE SHORTS.,Shorts,10.18,060
0609146008,LARRY LS HENLEY,Sweater,8.28,060
0610621009,Ebbot Low SB,Sneakers,14.76,061
0611033002,Rakel sandal,Sandals,9.91,061
0611144031,Badger Fancy,Sweater,10.24,061
0616552001,Tempest Zipper,Trousers,7.45,061
0617378001,ZODIAC vest,Outdoor Waistcoat,27.33,061
0619973001,Amelie TEST,Blouse,7.21,061
0621780001,Josie Sandal,Sandals,11.63,062
0625216015,TINA 7-p brief,Underwear bottom,11.6,062
0626713002,TP Sylvester flanel shirt,Shirt,11.34,062
0628642002,Blake Slim fit trs,Trousers,16.71,062
0630116014,SUPREME TIGHTS,Leggings/Tights,14.03,063
0634013039,Pat ls bd oxford solid,Shirt,16.28,063
0636392002,Jax Softtop 2 pk,Bra,6.37,063
0636475002,Basic Hood Jkt,Hoodie,6.44,063
